Airline,Duration,Total stops,Price,Date,Source,Destination
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,578",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 47,578",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 47,578",2023-06-01,CCJ,DXB
Air India,29h 25m,3 stops,"₹ 48,768",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,20h 25m,2 stops,"₹ 51,378",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 16,787",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 16,847",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,805",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,428",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 13,049",2023-06-01,CCJ,DXB
IndiGo,18h 45m,1 stop,"₹ 13,474",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 13,539",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 13,659",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 14,914",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,433",2023-06-01,CCJ,DXB
flynas,9h 20m,1 stop,"₹ 25,115",2023-06-01,CCJ,DXB
flynas,11h 15m,1 stop,"₹ 25,115",2023-06-01,CCJ,DXB
"Oman Air, flydubai",6h 55m,1 stop,"₹ 29,489",2023-06-01,CCJ,DXB
IndiGo,18h 45m,1 stop,"₹ 13,474",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 13,474",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 16,760",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 18,336",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,434",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,443",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,445",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 23,743",2023-06-01,CCJ,DXB
flynas,14h 15m,1 stop,"₹ 25,115",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 39,917",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 50,837",2023-06-01,CCJ,DXB
"Qatar Airways, flydubai",10h 05m,1 stop,"₹ 51,601",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",13h 30m,2 stops,"₹ 60,572",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 14,577",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 16,760",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 16,760",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 21,451",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,461",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 22,357",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 26,233",2023-06-01,CCJ,DXB
"Air India, Emirates",24h 00m,1 stop,"₹ 32,442",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 33,864",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 38,938",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 38,938",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,52h 10m,2 stops,"₹ 42,428",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,015",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 47,015",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 47,472",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 47,472",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,073",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,073",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,073",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 49,327",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 49,569",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 49,569",2023-06-01,CCJ,DXB
Air India,28h 00m,3 stops,"₹ 50,142",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 50,142",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 50,142",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,142",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,142",2023-06-01,CCJ,DXB
Air India,29h 25m,3 stops,"₹ 50,142",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,142",2023-06-01,CCJ,DXB
flynas,27h 35m,2 stops,"₹ 50,491",2023-06-01,CCJ,DXB
flynas,27h 35m,2 stops,"₹ 50,491",2023-06-01,CCJ,DXB
flynas,35h 50m,2 stops,"₹ 50,491",2023-06-01,CCJ,DXB
flynas,37h 15m,2 stops,"₹ 50,491",2023-06-01,CCJ,DXB
Air India,20h 25m,2 stops,"₹ 51,378",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 16,759",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 16,759",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 21,338",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,445",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 21,451",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,461",2023-06-01,CCJ,DXB
